title,artist,album,url,description,release_year,fetch_date
Todo Es de Cristo,Fortaleza Divina,Quiero Cantarte,https://www.youtube.com/watch?v=5k8kg3etTaU,,,2026-04-18 23:09:00
adios amigo,Tobias Apaza,adios amigo,https://www.youtube.com/watch?v=FqT4rmP2E2Y,,,2026-04-18 23:09:00
Morenada,Raymi Bolivia,Inolvidable Por Siempre Manuél Soliz Flores,https://www.youtube.com/watch?v=DDy-TdKC3nc,,,2026-04-18 23:09:00
Desolación,Codigo Urbano Bolivia,Desolación,https://www.youtube.com/watch?v=fiujfntOfPQ,,,2026-04-18 23:09:00
Tobas Sud,Pueblo Andino,Mi Pueblo,https://www.youtube.com/watch?v=_eAuoh8qRMg,,,2026-04-18 23:09:00
Bailando Tobas,Los Cantores,Amor Andino,https://www.youtube.com/watch?v=CHgfIxNNAvo,,,2026-04-18 23:09:00
Central (tobas),Conjunto de zampoñas amautas del valle de lasana,"Musica de los Andes, Danza con la zampoña",https://www.youtube.com/watch?v=C7vWhCxMIC4,,,2026-04-18 23:09:00
Fusion RUANA antologia Toba (Remasterizado),Danny caba,Fusion RUANA antologia Toba (Remasterizado),https://www.youtube.com/watch?v=aaw5ZPcO64g,,,2026-04-18 23:09:00
Jach'a Thuquwi,Ayopayamanta,Kalistía,https://www.youtube.com/watch?v=2EqjymVoWlo,,,2026-04-18 23:09:00
No Lloraré,Kollasuyo,Sentimientos,https://www.youtube.com/watch?v=1eCo5e9lBgM,,,2026-04-18 23:09:00
Amarguras,Los Tobas,Los Tobas,https://www.youtube.com/watch?v=yscudn0MmRo,,,2026-04-18 23:09:00
Salaquerita,Tiempo Bolivia,Salaquerita,https://www.youtube.com/watch?v=qnIteC7ogQU,,,2026-04-18 23:09:00
Tú,Anata Bolivia,8 Años,https://www.youtube.com/watch?v=LcNZVGP_xNc,,,2026-04-18 23:09:00
Luna Palida,Awatiñas,Tunkata Pä Tunkaru,https://www.youtube.com/watch?v=uPGdUSCRmIo,,,2026-04-18 23:09:00
Ulalitay,Sisay Bolivia,Florece una Ilusión,https://www.youtube.com/watch?v=C1eXUFZq7xw,,,2026-04-18 23:09:00
