title,artist,album,url,description,release_year,fetch_date
SANJUANITO,Music festival Andina,MIX MUSICA ANDINA,https://www.youtube.com/watch?v=fr3tJRPxuO4,,,2026-04-18 23:06:41
Cuitas de Amor Sanjuanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 97",https://www.youtube.com/watch?v=BkK3e8ZH4T4,,,2026-04-18 23:06:41
Ponchito Negro (Sanjuanito),Los Huayanay,Aires de Ecuador,https://www.youtube.com/watch?v=2btnT6uZywo,,,2026-04-18 23:06:41
San Juanito,Wayra Ñan,"Tradicional, Vol. 6",https://www.youtube.com/watch?v=bj_7VdDSKts,,,2026-04-18 23:06:41
Ecuador San Juanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 89",https://www.youtube.com/watch?v=xtTxcWDTLQ4,,,2026-04-18 23:06:41
San Juanito de Otro Tiempo (feat. Arturo Aguirre),Los Folkloristas,Ecuador,https://www.youtube.com/watch?v=HAPUF1ZrDb4,,,2026-04-18 23:06:41
Mashua,Alpamayo,Flutes and Panpipes From the Andes,https://www.youtube.com/watch?v=OSKkSfe3m8Q,,,2026-04-18 23:06:41
Zig Zag,Trencito de los Andes,Zig Zag - Parte Primera,https://www.youtube.com/watch?v=skmsub8NMUk,,,2026-04-18 23:06:41
Sanjuanito,INKAmerica,INKAmerica,https://www.youtube.com/watch?v=m-qttYUEHnw,,,2026-04-18 23:06:41
Rosalia-ecuador,Yarina,500 Years,https://www.youtube.com/watch?v=idT-_AAsBHI,,,2026-04-18 23:06:41
Jatarishun Huambritos,Llaqtaymanta,"Llaqtaymanta - Peru, Ecuador, Bolivia. Musica Tradicional de los Andes",https://www.youtube.com/watch?v=1miorGIBq7s,,,2026-04-18 23:06:41
San Juanito de Otro Tiempo (Sanjuanito) [Ecuador],Los Folkloristas,Viaje Por Latinoamérica,https://www.youtube.com/watch?v=R1sqVTpUdXE,,,2026-04-18 23:06:41
Anillo de Oro,Festa Indigena,Andina,https://www.youtube.com/watch?v=jd4HLgZntw4,,,2026-04-18 23:06:41
San Junatio De Mi Tierra,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=KayvG66vbVA,,,2026-04-18 23:06:41
SANJUANITO QUITEÑO,Music festival Andina,MIX MUSICA ANDINA,https://www.youtube.com/watch?v=Pkgz76wZy-s,,,2026-04-18 23:06:41
El Pañuelito (Albazo de Ecuador version),Hermanas Mendoza Suasti,18 Exitos de Ecuador,https://www.youtube.com/watch?v=AY6kv1xRBww,,,2026-04-18 23:06:41
Penas mias,Ecuador Manta,Los Sanjuanitos de mi Vida,https://www.youtube.com/watch?v=R-To_QP-oXg,,,2026-04-18 23:06:41
Oro verde (Sanjuanito Moderno),David Morales Sk,Oro verde (Sanjuanito Moderno),https://www.youtube.com/watch?v=ENxncwgShg4,,,2026-04-18 23:06:41
Zambiceña (Sanjuanito),Yoder Chamba,Éxitos Inmortales,https://www.youtube.com/watch?v=nstuI47C34Q,,,2026-04-18 23:06:41
Oruro,Ecuador Causary,Music From The Andes,https://www.youtube.com/watch?v=WRcHNrXNsrY,,,2026-04-18 23:06:41
Pobre Corazón (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=Pm076Cctoj0,,,2026-04-18 23:06:41
Popurrí de Sanjuanitos,Hermanos Chamba,Sanjuanitos Inolvidables,https://www.youtube.com/watch?v=QeALGWPCxfY,,,2026-04-18 23:06:41
Sanjuanito,Raices del Ande,Raices del Ande,https://www.youtube.com/watch?v=m8FJMhKIs7c,,,2026-04-18 23:06:41
Curiquingue,Los 4 Del Altiplano,Folklore Ecuatorianisimo,https://www.youtube.com/watch?v=qWtMpGrwANA,,,2026-04-18 23:06:41
Mariposita,Jayac,Energía Vital,https://www.youtube.com/watch?v=shiLJO5gIMU,,,2026-04-18 23:06:41
Peguche,Winiaypa,Sabes,https://www.youtube.com/watch?v=3QgHdH3I1Gs,,,2026-04-18 23:06:41
rumiñawi,Music festival Andina,MUSICA ANDINA,https://www.youtube.com/watch?v=0WxScVDFbzA,,,2026-04-18 23:06:41
Pacarin (Sanjuanito-Ecuador),Tahauntinsuyo,Tahuantinsuyo - Music of the Andes,https://www.youtube.com/watch?v=M8d8MNYvJbU,,,2026-04-18 23:06:41
Cantando Se Alegra La Vida (San Juanito),Los Cuatro del Altiplano,Música Tradicional de Ecuador,https://www.youtube.com/watch?v=BFBmfaLcAEM,,,2026-04-18 23:06:41
Sanjuanitos,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 12",https://www.youtube.com/watch?v=AgWFo5j_08w,,,2026-04-18 23:06:41
Carabuela (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=fWQqkhbSm5k,,,2026-04-18 23:06:41
Longuita Imbabureña (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=Hob-Yck8kLQ,,,2026-04-18 23:06:41
La Mentirosa (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=AVrOjO5m5bw,,,2026-04-18 23:06:41
Angustia (Tonada Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=Xe-Ie_ruz4I,,,2026-04-18 23:06:41
Imposible Olvidarte (Sanjuanito Version),Rumiñahui,Música de Ecuador,https://www.youtube.com/watch?v=1DLkVskYD9k,,,2026-04-18 23:06:41
Chagrita Caprichosa (Sanjuanito - Ecuador),Orquesta Achalay,"Musica de los Andes (Musica de Bolivia, Peru, Ecuador, Argentina)",https://www.youtube.com/watch?v=5yvLke4cQio,,,2026-04-18 23:06:41
Curiquingue - Yamor (Sanjuanito version),Eduardo Cadena-El Charango de Ecuador,Cuchara de Palo,https://www.youtube.com/watch?v=uV68mNAuTsM,,,2026-04-18 23:06:41
Carabuela - Amores hallaras (Sanjuanito version),Eduardo Cadena-El Charango de Ecuador,Cuchara de Palo,https://www.youtube.com/watch?v=GcRSLHKX67Q,,,2026-04-18 23:06:41
Tres Bandolines (San Juanito),Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 47",https://www.youtube.com/watch?v=_gzFl1U1Or0,,,2026-04-18 23:06:41
Ponchito,Diaspora,Ritmos En La Sangre,https://www.youtube.com/watch?v=bofUKBej2qU,,,2026-04-18 23:06:41
